id,restaurant_name,rating,number_of_ratings,delivery_fee,full_address,lat,lng,prague_municipal_district,url
145,donuter,90.0,184,49 Kč,"Seifertova 996/31, Praha 3 13000",50.085387,14.4432661,3,https://www.damejidlo.cz/donuter
146,donuter-zlicin,66.0,6,49 Kč,"Řevnická 1, Praha 5 15000",50.053295,14.2875481,5,https://www.damejidlo.cz/donuter-zlicin
147,dumpkings,76.0,126,29 Kč,"Fügnerovo náměstí 1866/5, Praha 2 12000",50.0714994,14.4300181,2,https://www.damejidlo.cz/dumpkings
148,dumpkingsii,66.0,40,29 Kč až 95 Kč,"Jankovcova 938/18a, Praha 7 17000",50.11088700000001,14.4503522,7,https://www.damejidlo.cz/dumpkingsii
149,dutch-pub-restaurant,-1.0,0,29 Kč (zdarma od 600 Kč),"Vladislavova 1390/17, Praha 1 11000",50.08073049999999,14.4209149,1,https://www.damejidlo.cz/dutch-pub-restaurant
150,e-sampanske,-1.0,0,250 Kč,"U dětského hřiště 11, Praha 5 15800",50.0540873,14.358733,5,https://www.damejidlo.cz/e-sampanske
151,eat-well,-1.0,0,29 Kč (zdarma od 700 Kč),"Kostnické náměstí 3, Praha 3 13000",50.0860192,14.4483394,3,https://www.damejidlo.cz/eat-well
152,edemame,90.0,116,69 Kč,"Norská 14, Praha 10 11000",50.0718974,14.4555555,10,https://www.damejidlo.cz/edemame
153,el-centro-restaurante-espanol,-1.0,0,59 Kč (zdarma od 600 Kč),"Maltézské náměstí 9, Praha 1 11000",50.0864937,14.4049472,1,https://www.damejidlo.cz/el-centro-restaurante-espanol
154,el-emir-koruna,-1.0,0,59 Kč (zdarma od 1 000 Kč),"Václavské náměstí 1, Praha 1 11000",50.08413530000001,14.4242691,1,https://www.damejidlo.cz/el-emir-koruna
155,el-chapo,91.0,122,79 Kč (zdarma od 700 Kč),"bořanovická 43, Praha 8 18200",50.1280327,14.4592472,8,https://www.damejidlo.cz/el-chapo
156,engawa-sushi-bar,-1.0,0,29 Kč (zdarma od 1 000 Kč),"Petrské náměstí 1664/5, Praha 1 11000",50.0910761,14.4323489,1,https://www.damejidlo.cz/engawa-sushi-bar
